"cohort_start_date","renewal_date","cohort_size","cohort_size_at_renewal","plan","amount","currency","cohort_age_months","retention_rate"
"2019-02-01 00:00:00+01","2019-08-01 00:00:00+02","4","1","LARGE","15.95","EUR","6","0.25"
"2019-02-01 00:00:00+01","2019-09-01 00:00:00+02","4","1","LARGE","15.95","EUR","7","0.25"
"2019-02-01 00:00:00+01","2019-10-01 00:00:00+02","4","1","LARGE","15.95","EUR","8","0.25"
"2019-02-01 00:00:00+01","2019-11-01 00:00:00+01","4","1","LARGE","15.95","EUR","9","0.25"
"2019-02-01 00:00:00+01","2019-12-01 00:00:00+01","4","1","LARGE","15.95","EUR","10","0.25"
"2019-02-01 00:00:00+01","2020-01-01 00:00:00+01","4","1","LARGE","15.95","EUR","11","0.25"
"2019-02-01 00:00:00+01","2020-02-01 00:00:00+01","4","1","LARGE","15.95","EUR","12","0.25"
"2019-02-01 00:00:00+01","2020-03-01 00:00:00+01","4","1","LARGE","15.95","EUR","13","0.25"
"2019-02-01 00:00:00+01","2020-04-01 00:00:00+02","4","1","LARGE","15.95","EUR","14","0.25"
"2019-02-01 00:00:00+01","2020-05-01 00:00:00+02","4","1","LARGE","15.95","EUR","15","0.25"
"2019-02-01 00:00:00+01","2020-06-01 00:00:00+02","4","1","LARGE","15.95","EUR","16","0.25"
"2019-02-01 00:00:00+01","2020-07-01 00:00:00+02","4","1","LARGE","15.95","EUR","17","0.25"
"2019-02-01 00:00:00+01","2020-08-01 00:00:00+02","4","1","LARGE","15.95","EUR","18","0.25"
"2019-02-01 00:00:00+01","2020-09-01 00:00:00+02","4","1","LARGE","15.95","EUR","19","0.25"
"2019-02-01 00:00:00+01","2020-10-01 00:00:00+02","4","1","LARGE","15.95","EUR","20","0.25"
"2019-02-01 00:00:00+01","2019-02-01 00:00:00+01","2","2","LARGE","18.95","USD","0","1.00"
"2019-02-01 00:00:00+01","2019-03-01 00:00:00+01","2","2","LARGE","18.95","USD","1","1.00"
"2019-02-01 00:00:00+01","2019-04-01 00:00:00+02","2","2","LARGE","18.95","USD","2","1.00"
"2019-02-01 00:00:00+01","2019-05-01 00:00:00+02","2","1","LARGE","18.95","USD","3","0.50"
"2019-02-01 00:00:00+01","2019-06-01 00:00:00+02","2","1","LARGE","18.95","USD","4","0.50"
"2019-02-01 00:00:00+01","2019-07-01 00:00:00+02","2","1","LARGE","18.95","USD","5","0.50"
"2019-02-01 00:00:00+01","2019-08-01 00:00:00+02","2","1","LARGE","18.95","USD","6","0.50"
"2019-02-01 00:00:00+01","2019-09-01 00:00:00+02","2","1","LARGE","18.95","USD","7","0.50"
"2019-02-01 00:00:00+01","2019-10-01 00:00:00+02","2","1","LARGE","18.95","USD","8","0.50"
"2019-02-01 00:00:00+01","2019-11-01 00:00:00+01","2","1","LARGE","18.95","USD","9","0.50"
"2019-02-01 00:00:00+01","2019-12-01 00:00:00+01","2","1","LARGE","18.95","USD","10","0.50"
"2019-02-01 00:00:00+01","2020-01-01 00:00:00+01","2","1","LARGE","18.95","USD","11","0.50"
"2019-02-01 00:00:00+01","2020-02-01 00:00:00+01","2","1","LARGE","18.95","USD","12","0.50"
"2019-02-01 00:00:00+01","2020-03-01 00:00:00+01","2","1","LARGE","18.95","USD","13","0.50"
"2019-02-01 00:00:00+01","2020-04-01 00:00:00+02","2","1","LARGE","18.95","USD","14","0.50"
"2019-02-01 00:00:00+01","2020-05-01 00:00:00+02","2","1","LARGE","18.95","USD","15","0.50"
"2019-02-01 00:00:00+01","2020-06-01 00:00:00+02","2","1","LARGE","18.95","USD","16","0.50"
"2019-02-01 00:00:00+01","2020-07-01 00:00:00+02","2","1","LARGE","18.95","USD","17","0.50"
"2019-02-01 00:00:00+01","2020-08-01 00:00:00+02","2","1","LARGE","18.95","USD","18","0.50"
"2019-02-01 00:00:00+01","2020-09-01 00:00:00+02","2","1","LARGE","18.95","USD","19","0.50"
"2019-02-01 00:00:00+01","2020-10-01 00:00:00+02","2","1","LARGE","18.95","USD","20","0.50"
"2019-02-01 00:00:00+01","2020-11-01 00:00:00+01","2","1","LARGE","18.95","USD","21","0.50"
"2019-03-01 00:00:00+01","2019-03-01 00:00:00+01","35","35","SMALL","8.95","EUR","0","1.00"
"2019-03-01 00:00:00+01","2019-04-01 00:00:00+02","35","33","SMALL","8.95","EUR","1","0.94"
"2019-03-01 00:00:00+01","2019-05-01 00:00:00+02","35","31","SMALL","8.95","EUR","2","0.89"
"2019-03-01 00:00:00+01","2019-06-01 00:00:00+02","35","27","SMALL","8.95","EUR","3","0.77"
"2019-03-01 00:00:00+01","2019-07-01 00:00:00+02","35","26","SMALL","8.95","EUR","4","0.74"
"2019-03-01 00:00:00+01","2019-08-01 00:00:00+02","35","25","SMALL","8.95","EUR","5","0.71"
"2019-03-01 00:00:00+01","2019-09-01 00:00:00+02","35","25","SMALL","8.95","EUR","6","0.71"
"2019-03-01 00:00:00+01","2019-10-01 00:00:00+02","35","24","SMALL","8.95","EUR","7","0.69"
